,gbifID,format,identifier,references
12371,3722415999,image/jpeg,https://observation.org/photos/43276912.jpg,
12372,3722580934,image/jpeg,https://observation.org/photos/44919166.jpg,
12373,3722612614,image/jpeg,https://observation.org/photos/43512853.jpg,
12374,3722612614,image/jpeg,https://observation.org/photos/43512854.jpg,
12375,3722626564,image/jpeg,https://observation.org/photos/41127345.jpg,
12376,3722644769,image/jpeg,https://observation.org/photos/44667227.jpg,
12377,3722667539,image/jpeg,https://observation.org/photos/42881759.jpg,
12378,3722730264,image/jpeg,https://observation.org/photos/43391371.jpg,
12379,3722844559,image/jpeg,https://observation.org/photos/44290355.jpg,
12380,3722844559,image/jpeg,https://observation.org/photos/44503862.jpg,
12381,3722910219,image/jpeg,https://observation.org/photos/45570185.jpg,
12382,3722913094,image/jpeg,https://observation.org/photos/44195619.jpg,
12383,3723105429,image/jpeg,https://observation.org/photos/44924936.jpg,
12384,3723105429,image/jpeg,https://observation.org/photos/44924937.jpg,
12385,3723105429,image/jpeg,https://observation.org/photos/44924932.jpg,
12386,3723105429,image/jpeg,https://observation.org/photos/44924935.jpg,
12387,3723105429,image/jpeg,https://observation.org/photos/44924934.jpg,
12388,3723109794,image/jpeg,https://observation.org/photos/42544249.jpg,
12389,3723109794,image/jpeg,https://observation.org/photos/42544245.jpg,
12390,3723109794,image/jpeg,https://observation.org/photos/42544248.jpg,
12391,3723109794,image/jpeg,https://observation.org/photos/42544247.jpg,
12392,3723172274,image/jpeg,https://observation.org/photos/44325815.jpg,
12393,3723172274,image/jpeg,https://observation.org/photos/44325816.jpg,
12394,3723172274,image/jpeg,https://observation.org/photos/44325817.jpg,
12395,3723179619,image/jpeg,https://observation.org/photos/44331126.jpg,
12396,3723197354,image/jpeg,https://observation.org/photos/42896786.jpg,
12397,3723218769,image/jpeg,https://observation.org/photos/45273163.jpg,
12398,3723218769,image/jpeg,https://observation.org/photos/45273164.jpg,
12399,3723279629,image/jpeg,https://observation.org/photos/45743761.jpg,
12400,3723291994,image/jpeg,https://observation.org/photos/45387070.jpg,
12401,3723296799,image/jpeg,https://observation.org/photos/43830699.jpg,
12402,3723322039,image/jpeg,https://observation.org/photos/44777602.jpg,
12403,3723322039,image/jpeg,https://observation.org/photos/44777600.jpg,
12404,3723423829,image/jpeg,https://observation.org/photos/44587898.jpg,
12405,3723525819,image/jpeg,https://observation.org/photos/45751173.jpg,
12406,3723527284,image/jpeg,https://observation.org/photos/44256292.jpg,
12407,3723527999,image/jpeg,https://observation.org/photos/45784986.jpg,
12408,3723562959,image/jpeg,https://observation.org/photos/45499845.jpg,
12409,3723562959,image/jpeg,https://observation.org/photos/45499844.jpg,
12410,3723562959,image/jpeg,https://observation.org/photos/45499846.jpg,
12411,3723635364,image/jpeg,https://observation.org/photos/45965243.jpg,
12412,3723644749,image/jpeg,https://observation.org/photos/45827194.jpg,
12413,3723705729,image/jpeg,https://observation.org/photos/45579723.jpg,
12414,3723716759,image/jpeg,https://observation.org/photos/45777200.jpg,
12415,3723743309,image/jpeg,https://observation.org/photos/44282604.jpg,
12416,3723743309,image/jpeg,https://observation.org/photos/44282605.jpg,
12417,3723743309,image/jpeg,https://observation.org/photos/44282603.jpg,
12418,3723795039,image/jpeg,https://observation.org/photos/45611509.jpg,
